,IdLandkreis,Refdatum,AnzahlFall
318,1002,2021-01-23,18
319,1002,2021-01-24,15
320,1002,2021-01-25,17
321,1002,2021-01-26,15
322,1002,2021-01-27,21
323,1002,2021-01-28,15
324,1002,2021-01-29,14
325,1002,2021-01-30,15
326,1002,2021-01-31,13
327,1002,2021-02-01,13
328,1002,2021-02-02,11
329,1002,2021-02-03,11
330,1002,2021-02-04,4
331,1002,2021-02-05,11
332,1002,2021-02-06,8
333,1002,2021-02-07,13
334,1002,2021-02-08,23
335,1002,2021-02-09,8
336,1002,2021-02-10,12
337,1002,2021-02-11,10
338,1002,2021-02-12,14
339,1002,2021-02-13,13
340,1002,2021-02-14,14
341,1002,2021-02-15,16
342,1002,2021-02-16,11
343,1002,2021-02-17,10
344,1002,2021-02-18,12
345,1002,2021-02-19,14
346,1002,2021-02-20,9
347,1002,2021-02-21,10
348,1002,2021-02-22,25
349,1002,2021-02-23,12
350,1002,2021-02-24,14
351,1002,2021-02-25,13
352,1002,2021-02-26,18
353,1002,2021-02-27,19
354,1002,2021-02-28,24
355,1002,2021-03-01,32
356,1002,2021-03-02,25
357,1002,2021-03-03,18
358,1002,2021-03-04,10
359,1002,2021-03-05,17
360,1002,2021-03-06,16
361,1002,2021-03-07,9
362,1002,2021-03-08,11
363,1002,2021-03-09,15
364,1002,2021-03-10,11
365,1002,2021-03-11,17
366,1002,2021-03-12,19
367,1002,2021-03-13,14
368,1002,2021-03-14,7
369,1002,2021-03-15,20
370,1002,2021-03-16,18
371,1002,2021-03-17,22
372,1002,2021-03-18,11
373,1002,2021-03-19,20
374,1002,2021-03-20,21
375,1002,2021-03-21,15
376,1002,2021-03-22,20
377,1002,2021-03-23,15
378,1002,2021-03-24,25
379,1002,2021-03-25,28
380,1002,2021-03-26,18
381,1002,2021-03-27,20
382,1002,2021-03-28,18
383,1002,2021-03-29,30
384,1002,2021-03-30,18
385,1002,2021-03-31,21
386,1002,2021-04-01,26
387,1002,2021-04-02,25
388,1002,2021-04-03,25
389,1002,2021-04-04,21
390,1002,2021-04-05,30
391,1002,2021-04-06,21
392,1002,2021-04-07,47
393,1002,2021-04-08,16
394,1002,2021-04-09,17
395,1002,2021-04-10,26
396,1002,2021-04-11,22
397,1002,2021-04-12,35
398,1002,2021-04-13,41
399,1002,2021-04-14,18
400,1002,2021-04-15,23
401,1002,2021-04-16,30
402,1002,2021-04-17,26
403,1002,2021-04-18,28
404,1002,2021-04-19,37
405,1002,2021-04-20,34
