,Landkreis,IdLandkreis
2186342,LK Neustadt a.d.Aisch-Bad Windsheim,9575
2192500,LK Roth,9576
2197610,LK Weißenburg-Gunzenhausen,9577
2202500,SK Aschaffenburg,9661
2205964,SK Schweinfurt,9662
2210001,SK Würzburg,9663
2215002,LK Aschaffenburg,9671
2222501,LK Bad Kissingen,9672
2227501,LK Rhön-Grabfeld,9673
2232501,LK Haßberge,9674
2237500,LK Kitzingen,9675
2241391,LK Miltenberg,9676
2247505,LK Main-Spessart,9677
2252505,LK Schweinfurt,9678
2259685,LK Würzburg,9679
2265000,SK Augsburg,9761
2275749,SK Kaufbeuren,9762
2280000,SK Kempten,9763
2282500,SK Memmingen,9764
2285000,LK Aichach-Friedberg,9771
2290000,LK Augsburg,9772
2302296,LK Dillingen a.d.Donau,9773
2307500,LK Günzburg,9774
2315000,LK Neu-Ulm,9775
2322904,LK Lindau,9776
2327519,LK Ostallgäu,9777
2335000,LK Unterallgäu,9778
2344572,LK Donau-Ries,9779
2350000,LK Oberallgäu,9780
2352500,LK Stadtverband Saarbrücken,10041
2362648,LK Merzig-Wadern,10042
2367500,LK Neunkirchen,10043
2371154,LK Saarlouis,10044
2379376,LK Saarpfalz-Kreis,10045
2383889,LK Sankt Wendel,10046
2387749,SK Berlin Mitte,11001
2399457,SK Berlin Friedrichshain-Kreuzberg,11002
2412500,SK Berlin Pankow,11003
2425000,SK Berlin Charlottenburg-Wilmersdorf,11004
2437500,SK Berlin Spandau,11005
2450000,SK Berlin Steglitz-Zehlendorf,11006
2460000,SK Berlin Tempelhof-Schöneberg,11007
2472500,SK Berlin Neukölln,11008
2487722,SK Berlin Treptow-Köpenick,11009
2495000,SK Berlin Marzahn-Hellersdorf,11010
2506728,SK Berlin Lichtenberg,11011
2517500,SK Berlin Reinickendorf,11012
2530008,SK Brandenburg a.d.Havel,12051
2532500,SK Cottbus,12052
2537516,SK Frankfurt (Oder),12053
2542128,SK Potsdam,12054
2547618,LK Barnim,12060
2555003,LK Dahme-Spreewald,12061
2562500,LK Elbe-Elster,12062
2568832,LK Havelland,12063
2575000,LK Märkisch-Oderland,12064
2582500,LK Oberhavel,12065
2590001,LK Oberspreewald-Lausitz,12066
2597500,LK Oder-Spree,12067
2605000,LK Ostprignitz-Ruppin,12068
2608222,LK Potsdam-Mittelmark,12069
2617500,LK Prignitz,12070
2620315,LK Spree-Neiße,12071
2625009,LK Teltow-Fläming,12072
2630001,LK Uckermark,12073
2634023,SK Rostock,13003
2640000,SK Schwerin,13004
2642501,LK Mecklenburgische Seenplatte,13071
2647501,LK Rostock,13072
2652502,LK Vorpommern-Rügen,13073
2658639,LK Nordwestmecklenburg,13074
2662663,LK Vorpommern-Greifswald,13075
2672500,LK Ludwigslust-Parchim,13076
2677500,SK Chemnitz,14511
2688003,LK Erzgebirgskreis,14521
2705510,LK Mittelsachsen,14522
2722500,LK Vogtlandkreis,14523
2735000,LK Zwickau,14524
2742535,SK Dresden,14612
2762399,LK Bautzen,14625
2775000,LK Görlitz,14626
2787143,LK Meißen,14627
2798000,LK Sächsische Schweiz-Osterzgebirge,14628
2810349,SK Leipzig,14713
2825293,LK Leipzig,14729
2835009,LK Nordsachsen,14730
2845005,SK Dessau-Roßlau,15001
2847500,SK Halle,15002
2857500,SK Magdeburg,15003
2862500,LK Altmarkkreis Salzwedel,15081
2865009,LK Anhalt-Bitterfeld,15082
2872500,LK Börde,15083
2877500,LK Burgenlandkreis,15084
2882244,LK Harz,15085
2887500,LK Jerichower Land,15086
2890001,LK Mansfeld-Südharz,15087
2897503,LK Saalekreis,15088
2902538,LK Salzlandkreis,15089
2910001,LK Stendal,15090
2915000,LK Wittenberg,15091
2922500,SK Erfurt,16051
2927595,SK Gera,16052
2932636,SK Jena,16053
2937501,SK Suhl,16054
2940707,SK Weimar,16055
2945006,LK Eichsfeld,16061
2952502,LK Nordhausen,16062
2955520,LK Wartburgkreis,16063
2963608,LK Unstrut-Hainich-Kreis,16064
2970001,LK Kyffhäuserkreis,16065
2975001,LK Schmalkalden-Meiningen,16066
2984469,LK Gotha,16067
2993061,LK Sömmerda,16068
2997625,LK Hildburghausen,16069
3002684,LK Ilm-Kreis,16070
3010002,LK Weimarer Land,16071
3015000,LK Sonneberg,16072
3020228,LK Saalfeld-Rudolstadt,16073
3027527,LK Saale-Holzland-Kreis,16074
3032585,LK Saale-Orla-Kreis,16075
3040002,LK Greiz,16076
3045467,LK Altenburger Land,16077
